"Label"	"Sentence"
1	"If students are not selective about their jobs, they will waste time and gain less knowledge."
1	"They may also work ineffectively because they are working at the wrong type of job."
1	"Overall, college students should obtain part-time jobs, but they should select them carefully. "
1	"I agree that it is important for college students to obtain part-time jobs for the following reasons."
1	"College students must learn knowledge from books but they must also learn practical skills."
1	"Part-time jobs can provide work opportunities that match college students' interests."
1	"College students can learn book knowledge at home and gain living experience at their part-time jobs."
1	"They can discover their shortcomings and strengths."
1	"Part-time employment can help college students grow."
1	"Many peoples' achievements prove that they benefitted from both part-time jobs and university educations."
1	"During their college years, these people developed their skills when they worked part-time."
1	"They gained confidence and improved their work abilities."
1	"I agree that it is important for college students to obtain part-time jobs because this type of work can contribute to students' development."
1	"Therefore, if you have an opportunity to obtain a part-time job, try to obtain one."
1	"Work hard and you will gain many advantages."
1	"Currently, an increasing number of college students have part-time jobs."
1	"However, people have differing opinions on this topic."
1	"Some people agree that part-time jobs are very good for college students."
1	"I do not believe it is very important for college students to have part-time jobs."
1	"Some people think part-time jobs offer certain advantages For example, students can gain experience from part-time jobs."
1	"Some people believe students can improve their character."
1	"Students can earn money from part-time employment."
1	"If students come from very poor families, they can reduce their families' burdens."
1	"However, after-school jobs can sometimes cause many problems."
1	"For example, some students solely focus on part-time jobs."
1	"They forget that studying is very important."
1	"Some students forget to study."
1	"Some others do not even attend classes on time."
1	"Personally, I believe students' primary tasks are to study hard and learn important knowledge."
1	"They can earn money in the future."
1	"I believe college students must understand that their most important task is studying."
1	"I believe it is important for college students to have part-time jobs."
1	"Because we are growing up, we must begin to take care of ourselves."
1	"Our mothers first introduced us to this beautiful world."
1	"Our mothers taught us to walk, speak, and so on."
1	"Now, it is our turn to care for our parents."
1	"Thus, part-time jobs may be good choices because we can work for our bosses and earn money."
1	"In addition, we can gain rich experience that we can only obtain in real work environments."
1	"On the other hand, we should not focus too much attention on part-time jobs because we are currently students, rather than workers."
1	"In addition, if we do not possess sufficient fundamental knowledge, we might not perform well at our part-time jobs."
1	"It is important to remember that studying can help our work and our work can help our studying."
1	"Our primary goal as college students is to obtain the most possible knowledge."
1	"It can be a challenge for freshmen to learn how to balance studying and working."
1	"Therefore, it is important to plan ahead."
1	"Obtaining a part-time job during summer or winter vacations is a great idea."
1	"They help feel more like adults."
1	"We can make our own schedules."
1	"Part-time jobs are an important part of college students' lives!"
1	"Because an increasing number of college students are working part-time, many people have asked,  Is it important for college students to have part-time jobs?"""
1	"In my opinion, it is not necessary for college students to have part-time job."
1	"I can support my opinion with the following reasons."
1	"First, although college life is relaxing, it is also important that students study diligently."
1	"Every second is important to college students."
1	"If students have time available to work part-time, then those students should spend that time learning knowledge."
1	"Second, most college students have limited social experience."
1	"Therefore, they are quite easily tricked or cheated."
1	"Many students lack the ability to keep away from danger."
1	"I think school is very safe."
1	"However, if students have part-time jobs, I cannot imagine the dangers they might face."
1	"Last but not least, it is impossible to guarantee that part-time jobs will provide students with valuable experiences."
1	"On the other hand, students can benefit from school club activities."
1	"They can chat with other students."
1	"They can share happy times with one another and engage in pleasant activities."
1	"Overall, I believe part-time jobs are dangerous."
1	"They are not required for college students."
1	"Maybe students are curious about part-time employment."
1	"They want to try it."
1	"However, I believe book knowledge is more interesting."
1	"It is obvious that part-time jobs have become increasingly popular among college students."
1	"From my perspective, this is a good phenomenon."
1	"It is quite important for college students to have part-time jobs."
1	"Students who work part-time can gain additional experience."
1	"Students can learn how to apply the knowledge they learn in classes."
1	"In addition, part-time jobs teach students the difficulties involved in earning money."
1	"First, college students may obtain many benefits from working."
1	"They learn how to perform their jobs."
1	"They also learn how to work with colleagues and bosses."
1	"This will increase their confidence."
1	"I worked as a translator for a TV program for about one month."
1	"I gained many benefits."
1	"Therefore, I believe part-time jobs are quite important for college students."
1	"Second, part-time jobs provide opportunities for students to practice the knowledge they learn in college."
1	"Practice is the only way to test the truth."
1	"Practice can also help students in their studies."
1	"I learned many useful things during my work for the TV program."
1	"Therefore, if a college student hopes to gain many benefits, he or she should get a part-time job."
1	"Finally, part-time jobs can help students gain a better understanding of the concept of money."
1	"They will rapidly learn how difficult it can be to earn even 100 yuan."
1	"They will truly understand the value of money and gain a better understanding of their parents' financial burdens."
1	"Ultimately, college students can grow when they have part-time jobs."
1	"They can improve their practical skills."
1	"Most important, they can develop a deeper understanding of the concept of money."
1	"I do not agree with this point."
1	"Perhaps some people believe that part-time jobs can help them gain knowledge outside of books and possibly even achieve financial independence."
1	"Some other people believe part-time jobs will have strong negative effects on students' ability to study."
1	"In addition, part-time jobs may cause excessive stress."
1	"These factors may cause students to participate in only a few college activities."
1	"I believe students should focus on studying, rather than on part-time jobs."
1	"Part-time jobs offer limited opportunities for students."
1	"College students' time is valuable but limited."
1	"If students spend too much time on part-time jobs, undoubtedly they will have less time to study."
1	"They will also have little time available to participate in college activities."
1	"Even though some people believe part-time jobs will provide extra money, I disagree College is not the appropriate time for students to earn money."
1	"It is the best time for students to learn many types of knowledge."
1	"Students may earn some money now but they might lose a great deal of money in the future."
1	"In summary, college students should not obtain part-time jobs when they attend college."
1	"Part-time jobs just distract students and make them lose their way."
1	"School work is more important than part-time work."
1	"Knowledge is power."
1	"Currently, college students want to have part-time jobs while they attend school."
1	"I believe this argument has two sides."
1	"On the one hand, if a student hopes to gain more experience in society, a part-time job can provide opportunities to achieve this goal."
1	"However, on the other hand, if a student focuses too much attention on his/her part-time job, that student may not have enough time to study."
1	"After all, studying is a college student's most important task."
1	"Most college students believe part-time jobs can improve their future employment possibilities."
1	"Part-time jobs can also improve a student's confidence and sense of responsibility."
1	"Therefore, part-time jobs are good, practical ideas."
1	"Some other college students believe that college demands that they focus on studying."
1	"These students argue that time spent on part-time jobs may neglect their school work."
1	"In their view, students' focus on studying is more important than their focus on part-time jobs."
1	"College has become increasingly market focused."
1	"College students must develop a variety of skills."
1	"Whether students should have part-time jobs depends on their personal abilities."
1	"You can see college students everywhere."
1	"Most of them have part-time jobs."
1	"The number of college students who have part-time jobs is increasing because part-time jobs offer three benefits."
1	"First, many college students have limited funds to pay for tuition and living expenses."
1	"Part-time jobs offer good ways to earn money."
1	"College students can rely on their own abilities."
1	"They will not need to ask their parents for money."
1	"They can earn their own money."
1	"This is a first step in the process of becoming an adult."
1	"Second, most college students are unfamiliar with society."
1	"If they have part-time jobs, they will have opportunities to learn about society and gain more experience."
1	"Third, when they attend school, students can only meet teachers or other students."
1	"However, when they have part-time jobs, they can meet many different kinds of people, such as businessmen, officers, and so on."
1	"Part-time jobs can teach students many things they will not learn in school."
1	"College students can improve their relationships with others."
1	"Therefore, I believe it is important for college students to have part-time jobs."
1	"I believe it is particularly important for college students to have part-time jobs."
1	"It is well-known that many college students would like to have part-time jobs."
1	"Some students actually have two or three part-time jobs."
1	"However, every coin has two sides."
1	"I believe that the disadvantages of part-time jobs outweigh their advantages."
1	"Some people believe students can obtain many benefits from part-time employment, such as money, living experiments, and so on."
1	"However, part-time jobs require students to invest significant amounts of time and energy."
1	"Students who have part-time jobs can become tired."
1	"This might not be good for their health."
1	"In addition, college is the place where students must learn knowledge."
1	"Most people believe that students' primary task is studying."
1	"It is not earning money."
1	"I really agree with this point."
1	"Last but not least, part-time jobs do not pay very well."
1	"It is undeniable that we want to earn significant amounts of money in the future."
1	"Therefore, knowledge plays an important role in our lives."
1	"Based on the reasons listed above, I believe part-time jobs are not appropriate for college students because students should focus on studying."
1	"Whether college students should have part-time jobs has been the topic of many arguments recently."
1	"Different people have different opinions."
1	"I believe it is beneficial for college students to have part-time or extracurricular jobs."
1	"My can defend my opinion with three points."
1	"First, undoubtedly, part-time jobs can help us pay our daily bills."
1	"Even though our wages might not be sufficient, we can use the small amount we earn to pay our bills."
1	"We will feel pride when we tell our parents they can send us less money because we have grown up."
1	"Second, it can be truly rewarding to receive cheerful, valuable results from our struggles."
1	"We can increase our confidence and learn to persevere."
1	"We will become more courageous when we face unpredictable challenges."
1	"Part-time jobs also offer opportunities to enrich our social skills."
1	"It has been universally acknowledged that our society is becoming increasingly complicated and competitive."
1	"Before we enter society, we must gain more experience that will help us enter into and adapt to society more quickly."
1	"We will have more chances to succeed in the future."
1	"Of course, part-time jobs may consume some of our time."
1	"However, working part-time during our free time can earn enormous benefits."
1	"Therefore, why not find a part-time job?"
1	" I think it is very important for college students to have part-time jobs."
1	"When children enter college, they must grow up."
1	"Students should try to learn as much as they can during the time they attend college because, during that time, students do not have to worry about life and its problems."
1	"During the time they attend college, students have many opportunities to try new things."
1	"In China, in particular, before entering college, students have limited free time."
1	"Students should grow into adulthood during their college years."
1	"We can learn a great deal when we earn money by ourselves."
1	"We can also gain more experience that will help us in the future."
1	"We must all earn our living in the future."
1	"If we can practice during our college years, we will find it easier to face challenges in the future."
1	"Some people ruin their futures because they cannot find fulfilling activities in the present."
1	"They feel bored."
1	"They are unable to decide what they should do once they have suddenly been set free."
1	"They waste time doing things that have no meaning, such as playing computer games around the clock."
1	"During those activities, they develop many bad habits."
1	"Part-time jobs can prevent these difficulties."
1	"Therefore, I believe college students should find part-time jobs."
1	"An increasing number of college students have part-time jobs."
1	"I have mixed feelings about whether this is a good idea because it depends on the situation."
1	"On the one hand, some students struggle to study diligently."
1	"These students should pay more attention to their homework and devote themselves to their studies."
1	"Students who have difficulties in school should not accept part-time jobs."
1	"On the other hand, most students do not have difficulties with school work."
1	"They need to do more than just study theory in college."
1	"They must learn practical kinds of knowledge."
1	"They can apply their book knowledge when they improve their practical skills."
1	"Part-time jobs offer students opportunities to gain practical experience."
1	"This experience will be beneficial when they search for jobs in the future."
1	"Students can also earn extra money."
1	"This will increase their independence."
1	"Most students who are employed part-time are unsure about the amount of time they should devote to their jobs."
1	"Students must learn to manage their time."
1	"If they fail to manage their time efficiently, they may have difficulties with their studies."
1	"Overall, students should carefully decide whether they should accept part-time jobs."
1	"In China, an increasing number of students have part-time jobs."
1	"Some students have even started their own businesses."
1	"It is quite common to see college students selling products in supermarkets or washing dishes in restaurants."
1	"However, the fact is that college students' most important goal should be to study hard and achieve high examination scores."
1	"Many people are opposed university students' part-time employment."
1	"However, I believe it is important for college students to have part-time jobs."
1	"First, university life involves many responsibilities."
1	"Work is one of those responsibilities."
1	"Therefore, college students should not reject part-time jobs."
1	"Second, part-time jobs offer college students many advantages."
1	"Students can broaden their social experiences."
1	"For example, students who work part-time can improve their conversational skills."
1	"In addition, students can save money provided by their parents."
1	"They can use their earnings to buy things they like (e.g., a new phone)."
1	"In addition, part-time employment can help students develop greater independence and team spirit."
1	"Therefore, for the reasons listed above, I believe it is important for college students to have part-time jobs."
1	"As a college student, I believe part-time jobs are a very good idea."
1	"First, most college students are adults."
1	"They will enter society in the next four-to-seven years."
1	"Part-time jobs provide opportunities for students to learn more about society."
1	"They also help students gain good experience."
1	"Second, very few students understand the importance of money."
1	"They cannot imagine how hard life can be."
1	"However, part-time jobs can help them gain a better understanding of life's difficulties."
1	"They will learn that earning is living is not as easy as they believed."
1	"It takes hard work to make a life."
1	"Hard work deserves higher pay."
1	"Third, when students diligently try to find part-time jobs, they may also discover their future careers."
1	"College freshmen always feel confused."
1	"They struggle to find the dreams they truly want to follow."
1	"This might be the fault of the Chinese education system."
1	"Teachers in primary and middle schools never guide students to find their dreams."
1	"Because pressures are strong, some gifted students may be ignored."
1	"In contrast, college is a place where students can show their abilities."
1	"However, after twelve years of education, many students cannot find the careers they would like to pursue."
1	"Overall, when college students find part-time jobs and interact with society, many will begin to consider life from a new perspective."
1	"Currently, an increasing number of college students have part-time jobs."
1	"From my perspective, college students should have part-time jobs."
1	"First, college students usually have a great deal of free time."
1	"Thus, they have time available to work part-time, and so on."
1	"College students have a great deal of theoretical knowledge."
1	"However, they usually lack practical experience."
1	"Part-time jobs can help them solve this problem."
1	"Second, part-time jobs help college students earn some money."
1	"College students can use some of this money to pay their tuition."
1	"They can buy things they might like."
1	"In addition, part-time jobs might help college students find jobs after they graduate."
1	"Many employers prefer mature students who have good experience."
1	"When college students have part-time jobs, they can gain experience and improve their skills."
1	"Currently, most college students are the only children in their families."
1	"Therefore, they must learn to manage the stress involved in earning a living in our society."
1	"College students must understand the difficulties involved in working and earning money."
1	"Once they learn about those difficulties, they will be more grateful for the help they receive from their parents."
1	"In conclusion, part-time jobs will cause a big revolution for college students."
1	"I believe college students should find part-time jobs."
1	"Some people believe that it is important for college students to have part-time jobs."
1	"I think this is a reasonable belief for the following reasons."
1	"First, most college students are adults."
1	"They have the ability to manage part-time jobs."
1	"Second, college students should become aware of the difficulties involved in earning money."
1	"They must learn to accept the responsibility to earn their own living expenses."
1	"They should share their families' burdens with their parents."
1	"In addition, college students can gain work experience from part-time employment."
1	"This will help them prepare for their future careers."
1	"Candidates who possess more experience are more attractive to employers."
1	"Employers are not willing to hire individuals who only possess theoretical knowledge."
1	"Employers want employees that have both practical knowledge and experience."
1	"Furthermore, college students who work part-time can acquire practical life skills and gain a deeper understanding of life and society."
1	"This will help them survive in a society filled with fierce competition and help them live better lives."
1	"In addition, college students can learn how to get along with others and improve their communication skills."
1	"College students can learn a great deal from part-time employment."
1	"Therefore, it is important for college students to obtain part-time jobs."
1	"It would be a good idea for students to obtain part-time jobs if they have time available in their schedules."
1	"I agree that it is very important for college students to obtain part-time jobs for the following reasons."
1	"An individual's entrance into college is also his/her entrance into society."
1	"High school students strongly hope to gain deeper experiences in the adult world."
1	"Undoubtedly, that is one reason why students obtain part-time jobs."
1	"Both experts and parents suggest that students in their freshman years or higher gain good experience when they are employed part-time."
1	"My father told me that part-time jobs can be challenging."
1	"He told me I would have to face difficulties."
1	"However, to me, the difficulties involved in part-time jobs are not important."
1	"We must devote ourselves and work hard."
1	"The greater the effort we make, the greater success we will achieve."
1	"The most important thing we can learn is how to work well and succeed."
1	"Furthermore, part-time jobs are paid employment."
1	"Money is always a motivation."
1	"Do you believe money is attractive?"
1	"In general, part-time employment can help college students gain a better idea of what their work lives will be in the future."
1	"These precious experiences will be both influential and beneficial."
1	"Therefore, if you have time available, don't wait."
1	"Try to find a part-time job."
1	"I agree with the preceding statement because I think that college students need a lot of money."
1	"I have two reasons for saying that."
1	"First, they should buy as many books as they can and read them."
1	"They can study a lot of things from the many books."
1	"If they go to the library, they can read many books, but they are forbidden to write in the books of the library."
1	"I think writing in books for studying is very important."
1	"Therefore, college students need much money to buy a lot of books."
1	"Second, they need to make many friends."
1	"To make a friend, they will belong to a club."
1	"For the club activities, they will need much money."
1	"If they make friends, they will enjoy eating and drinking with their friends."
1	"In summer vacations, they will plan to take a trip overseas."
1	"I think college students need to study and play."
1	"A part-time job gives them not only the money but also the wonderful experiences."
1	"The society rates being employed very highly, and deems it fundamental to obtaining many things in life."
1	"For example, they feel the importance of responsibility for their work and the difficulty of getting money."
1	"I think college students should have a part-time job, and study a lot of things."
1	"I agree with it."
1	"I have three reasons to support my answer."
1	"First, I think we should have a part-time job to learn how to work before we are employed in a company."
1	"We go to a university to learn many things before being employed, and we have much time to do something after classes."
1	"We can choose whether or not we have a part-time job to learn how to work."
1	"So we should have it."
1	"Second, I suppose we should know how hard earning is."
1	"I had not known that earning money to live is really hard until I had a part-time job."
1	"And I could thank my parents."
1	"I think it is important for us to know how hard earning is and to thank our parents."
1	"Third, we can use payments for part-time jobs to do many things for experience."
1	"As I said, we have much time in a university."
1	"And we can do something for ourselves by using payments for part-time jobs."
1	"For example, we can go travel and see the world, buy books, organize a student conference, and so on."
1	"I think that experiences will help us after we graduate."
1	"So I agree that it is important for college students to have a part-time job."
1	"Because we can learn how to work, we can know how hard earning is, and we can get good experiences thanks to a part-time job."
1	"I disagree with that."
1	"To be sure, to have a part-time job to live is vital for college students."
1	"But it isn't good to earn money to play."
1	"Generally speaking, college students have more free time than high school students and junior high school students."
1	"And how to use their time all depends on them."
1	"Many college students spend a lot of time working part-time because they need to earn money to play with friends."
1	"Making many friends in college is good, however, and studying is also important."
1	"In college, there are many things for students to do, for example, taking part in an internship, a club, a seminar, and so on."
1	"So, college students should actively take up what they can do only in college."
1	"By challenging themselves a lot, they are able to their best with confidence when they work in the future."
1	"Wages of a part-time job are very low generally, and working part-time is very tiring for college students."
1	"So, it costs them much time and effort to get money by working part-time."
1	"As a result, they often can't concentrate on a class or study for a test in college."
1	"It is not good for them."
1	"Therefore, I don't think that it is important for college students to have a part-time job."
1	"I agree that college students should have a part-time job."
1	"There are five reasons to support my opinion."
1	"First, by doing a part-time job, they can find earning money very hard."
1	"So they will use their money seriously."
1	"And college students have much time."
1	"So if they want travel abroad, they can make their own money by doing a part-time job."
1	"Planning how to use money is helpful when people begin to work."
1	"Second, if students do a part-time job, they can meet people of a variety of generations, from children to senior adults."
1	"So they can know various people's ways of thinking."
1	"Third, the harder they work at a part-time job, the better evaluated they are."
1	"For example, their wage per hour may go up."
1	"Fourth, by doing many kinds of part-time jobs, they can know their suitable future job, such as teaching children or serving customers in shops."
1	"In fact, I have a lot of friends who want to become teachers."
1	"And they teach junior high school students."
1	"Lastly, students have responsibility for their jobs."
1	"It is an important thing when they work."
1	"As above, they can know society's basic rules."
1	"This is why I agree that college students should have a part-time job."
1	"I agree with the statement."
1	"There are three reasons."
1	"First, college students need a lot of money."
1	"They must pay money to the college."
1	"And they need to buy clothes, and to eat and drink in order to be friendly."
1	"They should not have their parents pay a lot for them."
1	"They should pay the costs themselves."
1	"So they should have a part-time job."
1	"Second, they can make friends when they work."
1	"By working together, they will become friendly."
1	"It is very good to have many friends."
1	"For example, when a person has a problem, he or she can ask friends to give advice."
1	"Their advice might be different from college friends."
1	"It is important to hear many kinds of advice."
1	"Finally, students are able to practice for their jobs in the future by having a part-time job."
1	"If they have not had a part-time job, they don't know what kind of job is good for them."
1	"To have a part-time job is a good chance for students to get themselves noticed."
1	"Some people might say that they can study more if they don't have a job."
1	"It is true."
1	"However, I think it is more important to have the job."
1	"The students will be good persons."
1	"It is why I agree with the statement."
1	"I agree with the statement that it is important for college students to have a part-time job because I think college students have skills to work in adult society."
1	"Today, part-time jobs have spread to many parts of the industry and have taken important roles in these fields."
1	"Many companies want young people to work at part-time jobs, so we who are college students, young men and women, have more chances to have many experiences of the hard things in work in adult society."
1	"If we have both actual first-hand experience and second-hand accounts that are heard, listened, or talked about, we can lay a good foundation for the future."
1	"For example, I am working in Kobetsukan, a private school with teaching like in a formal school, as a part-time worker."
1	"That is my first job to make money, and it teaches me how I am seen as a worker in adult society."
1	"In the private school, I am called Narusawa, Teacher, and students see me as a professional teacher, but I cannot judge whether this is true or not."
1	"When I was seen as a professional worker, I could know the meaning of work in the adult society."
1	"It is that I have to play a role as the character other people expect me to be."
1	"That I learned that meaning is the biggest value of working in a part-time job."
1	"I agree with this idea."
1	"I think college students should have some part-time jobs."
1	"I also think they should study hard while they are students."
1	"They must live well between part-time jobs and study."
1	"This is not because college students need much money."
1	"If they have a part-time job, they have many friends and meet many types of ways of thinking."
1	"I think there are two types of part-time job."
1	"The first one is a job in juku."
1	"If you do a part-time job in juku, you must have your own student."
1	"You have to study too."
1	"Your knowledge, which you have studied before, is useful."
1	"The second one is a job in stores."
1	"If you work as a shop clerk, you must communicate with a lot of customers."
1	"Your communication ability will make progress."
1	"You will have much responsibility."
1	"It is hard to continue a part-time job."
1	"But the very responsibility is needed in society."
1	"You will have to have responsibility in everything you do when you become an adult."
1	"If you have a part-time job, your sight will be wide."
1	"Before you start life in society, you should practice communicating with many other people and know how to survive in the society."
1	"I disagree with this opinion."
1	"I think a part-time job is not a need for college students."
1	"First, college students must study hard."
1	"It is very important for college students to study."
1	"I think that a student is a man who studies academics or is educated, not one who works."
1	"If a student thinks that study is finished, that is wrong."
1	"Study is not limited."
1	"Second, I think that a college student, whether working a part-time job now or not, will graduate and be working at least about four years later."
1	"After all, college students will have to work."
1	"So now college students should not work."
1	"Third, working is very hard and takes a lot of time."
1	"A man said that one hour for a college or university student has the value of ten years for an old man."
1	"Actually, the period that is spent in college or university is very important."
1	"Students must spend this time seriously."
1	"Fourth, there are a lot of things for students to do, besides study."
1	"Club activities may help improve a college student."
1	"They teach a lot of things that are not gotten in education."
1	"College students should spend much time in them, not in working."
1	"I think a part-time job is not a need for college students."
1	"I think it is important for college students to have a part-time job."
1	"I have three reasons."
1	"First, if students have a part-time job, they can know how they work in society."
1	"They will have to work when they graduate from their colleges."
1	"So I think they should have time to prepare for working in society."
1	"Second, if they work in various situations, they will learn how they communicate with people."
1	"College students should experience various situations."
1	"Third, college students need a lot of money when they graduate from their colleges."
1	"So they must earn some money to use then."
1	"I think earning money when they become proper employees seems a bit late."
1	"Because most college students are adults, they should earn their own money."
1	"However, the most important thing they should do is study."
1	"College students should have enough time to study."
1	"It is useless for them to have no time for study because of working too hard."
1	"College students don't have to earn very much money."
1	"So I think they should work on summer vacation, winter vacation, and so on."
1	"If they experience working, it makes their life a more valuable thing."
1	"I agree with this statement, because having a part-time job is very important to learn our society."
1	"My opinion is that it is important for high school students to study many subjects, such as math, English, science, Japanese, and society."
1	"Therefore, high school students should not work a part-time job."
1	"But college students must work after graduating from a college, so while they are college students, they should learn about the work."
1	"So I think they should have a part-time job."
1	"They have a part-time job and they get some money."
1	"In addition, they can learn the hardness and the importance of getting some money."
1	"By getting some money, they can move in a wide area and go abroad to learn much knowledge, such as another country's culture, its play, its language, and its clothes."
1	"But they must not work too much, as their object is to learn much technical knowledge."
1	"I think they should not work more than four times a week, because working four times a week is more than half of the week."
1	"My conclusion is that college students should have a part-time job, but their main thing to do is studying, so they must not work too much."
1	"I think that it is important for college students to have a part-time job."
1	"It is true that there are some bad aspects to having a part-time job for college students; for example, we use a lot of time for part-time jobs so we don't study or we sleep in class."
1	"But there are more good aspects to having a part-time job."
1	"I raise three reasons that I think so."
1	"First, we can know how difficult it is to earn money and how important money is."
1	"Many of us depend on our parents financially, so we don't know how difficult it is to earn money."
1	"Having a part-time job shows us how difficult."
1	"And understanding it leads us to respect our parents."
1	"Second, we can get new skills that we can't get at college."
1	"I think having a lot of skills, even if it seems that those skills are not important, will be useful in the future."
1	"Third, we get the opportunity to talk with adults when doing a part-time job."
1	"We can get a lot of information and knowledge."
1	"I think a lot of knowledge leads us to be happy."
1	"In conclusion, I think it is important for college students to have a part-time job because we can know the difficulty of earning money and can get new skills and get the opportunity to talk with adults."
1	"I think it is important for college students to have a part-time job."
1	"I have some reasons for it."
1	"First, they can learn some social manners by it."
1	"Second, they can learn the ability of communication through it."
1	"Third, they can understand how hard it is to get some money."
1	"The social manners and the ability of communication they learn from it help them when they graduate from their college and get their jobs."
1	"The understanding of the difficulty of getting money will make them thank their parents."
1	"Finally, college students need a lot of money."
1	"For example they need money when they go to lunch with their club members or they go shopping."
1	"They have to make money by themselves for their enjoyment."
1	"Therefore, I think a part-time job is important for them."
1	"In fact, I will start a part-time job next month."
1	"The reasons I will start it are also the above reasons."
1	"Especially, I would like to learn the ability of communication and I would like to understand how hard it is to get money."
1	"And I want to use the money I get for shopping."
1	"People who disagree with the statement may think that students only have to study hard."
1	"But studying at a desk cannot teach them some social manners or the importance of money."
1	"There are many things that are learned only by working."
1	"I think a part-time job is important for college students occasionally."
1	"There are three reasons that I thought of."
1	"First, a part-time job is important for students who are independent of their parents, such as me!"
1	"I am living in Nagoya alone."
1	"And I have no money."
1	"So, I can't afford to buy magazines, comics, and so on, and I can't go shopping, to karaoke, and on trips with my friends."
1	"I think money is important for enjoying college life."
1	"Second, I sometimes think a part-time job isn't necessary for us."
1	"I think that way because there are some students who work too hard and don't study hard."
1	"We are college students and aren't college fleeters!"
1	"So we should study hard in college life."
1	"And we should get special careers that we cannot get except for college life!"
1	"However, there are some careers that we get only at a part-time job."
1	"This is the third reason."
1	"For example, greeting is especially an important skill because greeting is needed in business and communication, but many college students, including me, are not good at greeting."
1	"A part-time job makes us better at it."
1	"That is why I think a part-time job is important, but sometimes it is not important."
1	"I think it's important for college students to have a part-time job."
1	"I have two reasons I think that."
1	"First, I think college students use much money, more than in high school, such as for club activities, the cost of a cell phone, trips to other countries or abroad with good friends, and enjoying playing something with good friends."
1	"There are many things that they want to and must do while passing a good college life."
1	"So, they need more money that they can spend."
1	"I think it's natural for college students to pay their own cost for things that they enjoy with someone."
1	"So, if someone thinks those are not special things because they just rely on their parents to give increased money that they can spend, I think it's a stupid thing."
1	"Of course, even if they work many hours at a part-time job, they can't pay for all the things that they spend on, such as rent, food cost, and study cost."
1	"But they can pay their own activity cost, trip cost, and costs of other things they enjoy."
1	"I still have a part-time job but I also take driving classes now."
1	"So, I think I have become a burden on my parents."
1	"Second, students should know the importance of money."
1	"Recently, parents have given almost more money than they need to live comfortably."
1	"I think they will forget the importance of money because they have spent much money, as I wrote before."
1	"For example, if they take a trip abroad, they will spend about two hundred thousand yen for one time."
1	"It's natural for them if they didn't earn the money by themselves."
1	"I think if they earn their own money in hard times, they can understand the importance of money."
1	"So, we should have part-time jobs."
1	"I agree that college students should have part-time jobs."
1	"Do we only study in college?"
1	"No, I don't think that."
1	"Of course if you work too hard in part-time jobs and don't study in college, it is too bad, but a part-time job in itself is not bad thing, for reasons I will show you."
1	"First, you can experience many things that you can't experience in college."
1	"For example you can teach math, English, and science for high school or junior high school students."
1	"In a part-time job, you can discover new sides of yourself."
1	"Second, we can enter a new community."
1	"For example, a senior manager will tell you how to communicate with customers, and you must tell that to younger workers too."
1	"Finally, you will utilize the job's experiences for your own work in the future."
1	"Of course, what you have learned in college is the most important for entering a company you want to join."
1	"But after entering, you may utilize what you have learned in a part-time job."
1	"If you don't have those experiences, you can't cope with many kinds of work or problems, for example, how to communicate with older or younger people or solve some accidents that you don't expect to happen but that, if you have experience, you can act in quickly and flexibly."
1	"Part-time jobs have these good sides, so college students should work, if they don't forget to study."
1	"I agree with the opinion."
